                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8287,                 4.1022,                 2.5504,                0.00209,                0.17442,                0.00851,                 0.0025,                 2.5434,                 3.9056,                 2.5929,             0.00011669,             0.00011669,             0.00011669
                      2,                 2.4604,                 3.6448,                 2.1553,                0.00394,                0.36047,                0.05441,                0.02762,                  2.099,                 3.6357,                 2.1001,             0.00024015,             0.00024015,             0.00024015
                      3,                 2.2585,                 3.0785,                 1.9863,                0.00313,                0.24419,                0.02277,                0.00741,                 1.8646,                 3.4131,                 1.7773,             0.00035304,             0.00035304,             0.00035304
                      4,                 2.1936,                 2.7237,                 1.9134,                0.77779,                0.04651,                0.06769,                0.02713,                  2.065,                  3.533,                 2.0269,             0.00045538,             0.00045538,             0.00045538
                      5,                 2.0738,                 2.6131,                 1.8345,                0.69341,                0.03686,                0.07056,                0.02158,                 2.1531,                 3.5106,                 2.1103,             0.00054715,             0.00054715,             0.00054715
                      6,                 2.1159,                  2.556,                 1.8618,                0.86572,                0.03488,                0.06309,                0.02252,                  2.163,                 3.4409,                 2.3026,             0.00062836,             0.00062836,             0.00062836
                      7,                  2.105,                 2.5126,                 1.8647,                0.57474,                0.06977,                0.03832,                 0.0147,                 2.1379,                 3.2921,                 2.0326,             0.00069901,             0.00069901,             0.00069901
                      8,                 2.0123,                 2.4053,                 1.7488,                0.57102,                 0.0814,                0.04831,                0.01963,                 2.1302,                 3.0758,                 1.8374,             0.00075909,             0.00075909,             0.00075909
                      9,                 1.9202,                 2.2401,                 1.6724,                0.64741,                0.07303,                0.10483,                0.04947,                 2.2338,                 3.0926,                 1.8735,             0.00080862,             0.00080862,             0.00080862
                     10,                 1.9538,                 2.2424,                 1.6828,                0.19138,                0.13953,                0.10865,                0.04108,                 2.2821,                 2.8017,                 1.8543,             0.00084758,             0.00084758,             0.00084758
                     11,                 1.9042,                 2.2572,                 1.6915,                0.22153,                0.24419,                0.15826,                 0.0605,                 2.2544,                 2.7634,                 1.8762,             0.00087598,             0.00087598,             0.00087598
                     12,                 1.9417,                 2.2009,                 1.6587,                0.27636,                0.27907,                0.17282,                0.05832,                 2.3561,                 2.7014,                 1.9559,             0.00089381,             0.00089381,             0.00089381
                     13,                 1.8887,                 2.1645,                 1.6415,                0.16059,                0.27381,                0.13452,                0.04287,                   2.35,                  2.731,                 1.9625,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.8633,                 2.1491,                 1.6506,                0.19505,                0.37209,                0.21926,                0.08239,                 2.1804,                 2.5003,                 1.8136,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.7787,                 2.0261,                 1.6075,                0.63506,                 0.2093,                0.20923,                0.08498,                 2.2379,                 2.8043,                  1.787,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.8719,                 2.1182,                 1.6718,                0.23119,                 0.2907,                0.19106,                0.06995,                 2.3388,                 2.9038,                  1.861,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.8334,                 1.9881,                  1.643,                0.35285,                0.38372,                0.30241,                0.11433,                  2.297,                 2.7206,                 1.8774,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.7942,                 1.9189,                 1.6109,                0.30509,                0.37111,                 0.3092,                0.09243,                  2.299,                 2.3595,                 1.9351,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.7635,                 1.8372,                 1.5819,                0.63112,                0.31395,                0.40167,                0.14856,                 2.1627,                 2.1838,                 1.8352,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.7271,                  1.785,                 1.5394,                0.53357,                0.46512,                0.47591,                0.17666,                 2.1266,                 2.1604,                  1.849,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.7132,                 1.7188,                 1.5509,                0.52751,                0.47674,                0.51605,                0.19047,                 2.0944,                 2.0455,                  1.746,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.6721,                 1.6738,                 1.5029,                0.59879,                 0.4804,                0.50026,                0.17894,                 2.1017,                 2.0079,                 1.7402,             0.00028072,             0.00028072,             0.00028072
                     23,                 1.5941,                 1.6527,                 1.4694,                0.53956,                0.49074,                0.47777,                0.16453,                 2.1771,                 2.0035,                 1.7473,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.5697,                 1.5707,                 1.4283,                0.49087,                0.52067,                0.50812,                0.19239,                  2.177,                 1.8993,                 1.7623,              0.0001487,              0.0001487,              0.0001487
                     25,                 1.4901,                 1.5187,                 1.4177,                 0.5471,                0.47674,                0.52187,                0.22025,                 2.1384,                 1.8695,                 1.7504,             8.2683e-05,             8.2683e-05,             8.2683e-05
